SiteID,OperatorName,Latitude,Longitude
VOD_LK135,Vodafone,52.663580181200,-8.623241735000
VOD_LK138,Vodafone,52.672926795900,-8.538638087900
VOD_LK153,Vodafone,52.660705674900,-8.621323925000
VOD_LK156,Vodafone,52.664565198800,-8.625605810500
VOD_LK157,Vodafone,52.672651237600,-8.537984251400
VOD_LK571,Vodafone,52.634690016200,-8.653213736000
VOD_LKATD,Vodafone,52.684633120100,-8.604451154400
VOD_LKCCL,Vodafone,52.713592733300,-8.498684096400
VOD_LKCHD,Vodafone,52.669283523400,-8.663529554700
VOD_LKCS2,Vodafone,52.639519414500,-8.644304305300
VOD_LKEL1,Vodafone,52.650944112700,-8.633700661400
VOD_LKLKD,Vodafone,52.628642859200,-8.651469664000
VOD_LKLMK,Vodafone,52.661041428100,-8.625836317100
VOD_LKTP1,Vodafone,52.674886632400,-8.643094527900
VOD_LKTP2,Vodafone,52.674886632400,-8.643094527900
VOD_LS003,Vodafone,53.022367309800,-7.298158098200
VOD_LS005,Vodafone,53.105859871400,-7.141662938400
VOD_LS007,Vodafone,53.106161195700,-7.222077570800
VOD_LS010,Vodafone,53.046807666800,-7.318129006300
VOD_LS014,Vodafone,52.998630252700,-7.413079102400
VOD_LS020,Vodafone,52.922641667800,-7.591928376800
VOD_LS021,Vodafone,53.008860477200,-7.252253980200
VOD_LS028,Vodafone,52.962567996800,-7.467826486000
VOD_LS029,Vodafone,52.899109271200,-7.605568101300
VOD_LS030,Vodafone,53.035849373400,-7.303350293400
VOD_LS041,Vodafone,53.040173004600,-7.272106893300
VOD_LS043,Vodafone,53.003148414500,-7.468101798000
VOD_LS049,Vodafone,53.119179891100,-7.155945166200
VOD_LS560,Vodafone,52.914066305800,-7.489009658200
VOD_LSB1C,Vodafone,53.010570040000,-7.421811254200
VOD_LSKIE,Vodafone,53.126692330400,-7.094878327400
VOD_LSMRE,Vodafone,53.079190061100,-7.200942062900
VOD_LSPGS,Vodafone,53.030639525500,-7.308278486700
VOD_OYB5C,Vodafone,52.918747084500,-7.891480194900
VOD_TY001,Vodafone,52.776765300900,-8.331234298600
VOD_TY003,Vodafone,52.871806886900,-7.944806786500
VOD_TY025,Vodafone,52.949844867400,-7.795191778300
VOD_TY028,Vodafone,52.905629731500,-8.116968973000
VOD_TY031,Vodafone,52.845060025200,-8.201936247800
VOD_TY043,Vodafone,52.783170121100,-8.419997057900
VOD_TY079,Vodafone,52.841204334400,-8.017027348900
VOD_TY086,Vodafone,52.710844019800,-8.406534102400
VOD_TY094,Vodafone,52.861785814900,-8.194575424700
VOD_TY110,Vodafone,52.866922186700,-8.222217011500
VOD_TY120,Vodafone,52.763987591500,-8.393029372500
VOD_TY567,Vodafone,52.927358892300,-7.798123328300
VOD_TY569,Vodafone,52.909291418800,-7.855297136600
VOD_TYB7K,Vodafone,52.860591925600,-8.109068652800
VOD_TYB8T,Vodafone,52.853195206600,-8.239054413400
VOD_TYBHB,Vodafone,52.753791217300,-8.450475805600
VOD_TYNNH,Vodafone,52.866611236800,-8.194522695400
VOD_TYRSA,Vodafone,52.953347215100,-7.794014705200
THR_CE0099,Three,52.716063831500,-8.517593978300
THR_KD0013,Three,53.198571793800,-6.933566775400
THR_KD0015,Three,53.126744217500,-6.762263630200
THR_KD0022,Three,53.205242466400,-6.666326877900
THR_KD0023,Three,53.217081401700,-6.705840791900
THR_KD0033,Three,53.179240014500,-6.798265261400
THR_KD0043,Three,53.177613708100,-6.797383399100
THR_KD0046,Three,53.137500577600,-6.952294273400
THR_KD0103,Three,53.155888116800,-6.965973199600
THR_KD0148,Three,53.237091333900,-6.671417636500
THR_KD0152,Three,53.210524656000,-6.666192714100
THR_KD0155,Three,53.138267263900,-7.054603542600
THR_KD0156,Three,53.125383127600,-7.033509826300
THR_KD0158,Three,53.182385587100,-6.819881853200
THR_KD0164,Three,53.191539951600,-6.637831125600
THR_KD0173,Three,53.156145185800,-6.907232202700
THR_KD0174,Three,53.196480813000,-6.742283938700
THR_KD0175,Three,53.240996350700,-6.646326582800
THR_KD0178,Three,53.177220813800,-6.812859482000
THR_KD0182,Three,53.218569539200,-6.664011440800
THR_KD0185,Three,53.185692791200,-6.808197444700
THR_KD0186,Three,53.163585867800,-6.749316743500
THR_KD0187,Three,53.147932603500,-6.722255242100
THR_KD0188,Three,53.138462636800,-6.838121546400
THR_KD0189,Three,53.177167820900,-6.799504729600
THR_KD0193,Three,53.259820965000,-6.667790859500
THR_KD0194,Three,53.228194279100,-6.633972214700
THR_KD0195,Three,53.233589232500,-6.720903227900
THR_KD0197,Three,53.219981204100,-6.647363819700
THR_KD0198,Three,53.187994924200,-6.690290453800
THR_KD0201,Three,53.180866956800,-6.797426978300
THR_KD0214,Three,53.131971872900,-6.747456269400
THR_KD0220,Three,53.161093524300,-6.912817658900
THR_KD0224,Three,53.247396736200,-6.663263089200
THR_KD0245,Three,53.163436600900,-6.823721226200
THR_KD0248,Three,53.232454122900,-6.640306200100
THR_KD0249,Three,53.250651268200,-6.606917485600
THR_KD0254,Three,53.159955916600,-6.795544920800
THR_KD0256,Three,53.155862585800,-6.919587269900
THR_KD0285,Three,53.096416478400,-7.007706591800
THR_KD0286,Three,53.187234723800,-6.779446307900
THR_KD0287,Three,53.164264565000,-6.899026633500
